Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N
1,7698594.000000000000000,21,7974,Upper flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
2,5397027.000000000000000,30,7974,Dry flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
3,316363.000000000000000,30,7975,Dry flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
4,492128.000000000000000,21,7975,Upper flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
5,172997.000000000000000,21,7929,Upper flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
6,798574.000000000000000,21,7299,Upper flat,Developed-Roads,Developed-Roads,Developed-Roads
7,623255.000000000000000,21,7977,Upper flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
8,247588.000000000000000,21,7296,Upper flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
9,551941.000000000000000,30,7299,Dry flat,Developed-Roads,Developed-Roads,Developed-Roads
10,3903143.000000000000000,39,7974,Pluvial flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
11,12029.000000000000000,21,7421,Upper flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
12,5790119.000000000000000,32,7974,Valley/toe slope,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
13,734333.000000000000000,22,7299,Gentle slope,Developed-Roads,Developed-Roads,Developed-Roads
14,7651574.000000000000000,22,7974,Gentle slope,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
15,26648.000000000000000,30,7973,Dry flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
16,276911.000000000000000,31,7974,Wet Flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
17,710253.000000000000000,32,7299,Valley/toe slope,Developed-Roads,Developed-Roads,Developed-Roads
18,44773.000000000000000,31,7975,Wet Flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
19,209287.000000000000000,39,7975,Pluvial flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
20,33112.000000000000000,32,7973,Valley/toe slope,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
21,442021.000000000000000,39,7299,Pluvial flat,Developed-Roads,Developed-Roads,Developed-Roads
22,18919.000000000000000,39,7421,Pluvial flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
23,107741.000000000000000,21,7908,Upper flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
24,19093.000000000000000,39,7905,Pluvial flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
25,648935.000000000000000,39,7977,Pluvial flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
26,135101.000000000000000,30,7296,Dry flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
27,7419.000000000000000,21,7412,Upper flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
