Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N,in_y_n
1,7698594,21,7974,Upper flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
2,5397027,30,7974,Dry flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
3,316363,30,7975,Dry flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
4,492128,21,7975,Upper flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
5,172997,21,7929,Upper flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
6,798574,21,7299,Upper flat,Developed-Roads,Developed-Roads,Developed-Roads,0
7,623255,21,7977,Upper flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
8,247588,21,7296,Upper flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
9,551941,30,7299,Dry flat,Developed-Roads,Developed-Roads,Developed-Roads,0
10,3903143,39,7974,Pluvial flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
11,12029,21,7421,Upper flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
12,5790119,32,7974,Valley/toe slope,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
13,734333,22,7299,Gentle slope,Developed-Roads,Developed-Roads,Developed-Roads,0
14,7651574,22,7974,Gentle slope,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
15,26648,30,7973,Dry flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
16,276911,31,7974,Wet Flat,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
17,710253,32,7299,Valley/toe slope,Developed-Roads,Developed-Roads,Developed-Roads,0
18,44773,31,7975,Wet Flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
19,209287,39,7975,Pluvial flat,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
20,33112,32,7973,Valley/toe slope,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
21,442021,39,7299,Pluvial flat,Developed-Roads,Developed-Roads,Developed-Roads,0
22,18919,39,7421,Pluvial flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
23,107741,21,7908,Upper flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
24,19093,39,7905,Pluvial flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
25,648935,39,7977,Pluvial flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
26,135101,30,7296,Dry flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
27,7419,21,7412,Upper flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
28,973348,22,7975,Gentle slope,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
29,684930,32,7975,Valley/toe slope,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
30,557708,30,7977,Dry flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
31,23162,30,7905,Dry flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
32,39327,21,7973,Upper flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
33,68492,30,7908,Dry flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
34,84085,30,7297,Dry flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
35,43063,22,7973,Gentle slope,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
36,545721,39,9817,Pluvial flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
37,111643,39,7296,Pluvial flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
38,2938,21,7928,Upper flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
39,69948,39,7297,Pluvial flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
40,79030,30,7929,Dry flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
41,606882,21,9817,Upper flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
42,7478,39,7927,Pluvial flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
43,48896,39,7929,Pluvial flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
44,290248,21,7310,Upper flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
45,139630,32,7296,Valley/toe slope,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
46,76971,32,7908,Valley/toe slope,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
47,508937,30,9817,Dry flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
48,21636,21,7925,Upper flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
49,18476,32,7421,Valley/toe slope,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
